,Datetime,ITM,Product,Instrument,B/S,Price,FillQty,multilegreportingtype,TTOrderId,FirstLeg,SecondLeg,Structure,Algo,Tag,Parent_tag,Parent_firstleg,Tenore,start,id,Hedged,Final_Index
14174,2022-03-01 11:39:16.190,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,3CWJzh6sY5OBlh6hCiPgVy,,I Mar22
14175,2022-03-01 11:39:16.190,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,2VoLTIeLnxF4dRditXS3OI,,I Apr22
14176,2022-03-01 11:39:16.210,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,5,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,BhLdVtec5hF45U3rwHOfCc,,I Mar22
14177,2022-03-01 11:39:16.210,VSI,I,I Mar22,Buy,100.515,5,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,EhlFu2jUYwzGOQODmIfTjX,,I Mar22
14178,2022-03-01 11:39:16.210,VSI,I,I Apr22,Sell,100.495,-5,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,6tNhXWDLFsS2xt6Z6lwCwr,,I Apr22
14179,2022-03-01 11:39:16.213,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,AUslc3YIHDt6sAPDTI9KxR,,I Mar22
14180,2022-03-01 11:39:16.213,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,JAQNpXlkqJb7Ez64MzI1sE,,I Mar22
14181,2022-03-01 11:39:16.213,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,HBz4tILz6ehAuVV9aCRlyp,,I Apr22
14182,2022-03-01 11:39:16.213,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,HHU7ufAbkIFJHWKkAXgDB,,I Mar22
14183,2022-03-01 11:39:16.213,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,BM0hUYcKKKB2ciKLftsrT0,,I Mar22
14184,2022-03-01 11:39:16.213,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,IOf3w29mbOYAnFUCffThy1,,I Apr22
14185,2022-03-01 11:39:16.247,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,5,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,B0iyiQ3b6xXGUimSudtnCs,,I Mar22
14186,2022-03-01 11:39:16.247,VSI,I,I Mar22,Buy,100.515,5,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,2LCfVtrzmSB6GdJMFFJmh8,,I Mar22
14187,2022-03-01 11:39:16.247,VSI,I,I Apr22,Sell,100.495,-5,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,FYxCZpqCd0v13xOLNBRGPS,,I Apr22
14188,2022-03-01 11:39:16.257,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,2,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,3iLzAvvNW3qBbbpR5GfpMH,,I Mar22
14189,2022-03-01 11:39:16.257,VSI,I,I Mar22,Buy,100.515,2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,MjwItW6pPA28xTsGMOvwc,,I Mar22
14190,2022-03-01 11:39:16.257,VSI,I,I Apr22,Sell,100.495,-2,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,2lmCqlHrG1g8y2lhvdS5SI,,I Apr22
14191,2022-03-01 11:39:16.267,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,ITwPdHA9lQ6BlOAuw0B18q,,I Mar22
14192,2022-03-01 11:39:16.267,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,DVAztQ97rF3CuRVPiSniQF,,I Mar22
14193,2022-03-01 11:39:16.267,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,9dlHBXFgZjx1vK7bvBSRx,,I Apr22
14194,2022-03-01 11:39:16.270,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,JAYcBAe4useABeXUBzDjaD,,I Mar22
